function,module,link,has_spec,has_proof
ProjectivePoint::as_affine(&self),curve25519_dalek::montgomery,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/montgomery.rs#L758,yes,
"differential_add_and_double(&ProjectivePoint, &ProjectivePoint, &FieldElement)",curve25519_dalek::montgomery,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/montgomery.rs#L807,yes,
MontgomeryPoint::mul_assign(&Scalar),curve25519_dalek::montgomery,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/montgomery.rs#L953,yes,yes
Scalar::from(u16),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L1159,yes,yes
Scalar::from(u32),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L1195,yes,yes
Scalar::from(u64),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L1249,yes,yes
Scalar::from(u128),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L1281,yes,yes
Scalar::zeroize(&self),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L1317,yes,yes
Scalar::hash_from_bytes_verus(&[u8]),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L1503,yes,yes
Scalar::from_hash_verus([u8; 64]),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L1578,yes,
Scalar::to_bytes(&self),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L1600,yes,yes
Scalar::as_bytes(&self),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L1619,yes,yes
Scalar::invert(&self),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L1667,yes,yes
Scalar::batch_invert(&[Scalar]),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L1739,yes,yes
Scalar::bits_le(&self),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L2198,yes,
Scalar::non_adjacent_form(usize),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L2318,yes,
Scalar::as_radix_16(&self),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L2456,yes,
Scalar::to_radix_2w_size_hint(usize),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L2531,yes,yes
Scalar::as_radix_2w(usize),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L2590,yes,
Scalar::unpack(&self),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L2791,yes,yes
Scalar::reduce(&self),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L2805,yes,yes
Scalar::is_canonical(&self),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L2877,yes,yes
UnpackedScalar::pack(&self),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L3010,yes,yes
UnpackedScalar::montgomery_invert(&self),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L3090,yes,
UnpackedScalar::invert(&self),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L3180,yes,yes
"read_le_u64_into(&[u8], &[u64])",curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L3359,yes,
clamp_integer([u8; 32]),curve25519_dalek::scalar,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/scalar.rs#L3439,yes,
NafLookupTable5<ProjectiveNielsPoint>::select(usize),curve25519_dalek::window,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/main/curve25519-dalek/src/window.rs#L468,yes,yes
